Unit ID,Unit Name,Unit name local script,Fuel type,Unit type,Country/Area,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Onshore/Offshore,Production Type,Wiki URL
OG0000001,Matzen,,oil and gas,field,Austria,,48.41667,16.71667,approximate,operating,2023,1949,1951,OMV,OMV (100%),OMV Aktiengesellschaft (100%),Onshore,Conventional,https://www.gem.wiki/Matzen_Oil_and_Gas_Field_(Austria)
OG0000002,Abalone,Abalone,oil and gas,field,Brazil,Esp?rito Santo,-21.36,-39.612,exact,operating,2024,2001,2009,Shell Brasil Petr?leo Ltda.,Shell Brasil (50%);ONGC Campos (27%);Qatarenergy (23%),Shell plc (50%);Oil and Natural Gas Corporation (ONGC) (27%),Offshore,Conventional,"https://www.gem.wiki/Abalone_Oil_and_Gas_Field_(Esp?rito_Santo,_Brazil)"
OG0000006,Aguilhada,Aguilhada,oil and gas,field,Brazil,Sergipe,-10.686,-36.889,exact,operating,2023,1966,1969,,Petrobras (100%),Petr?leo Brasileiro S.A. (100%),Onshore,Conventional,"https://www.gem.wiki/Aguilhada_Oil_and_Gas_Field_(Sergipe,_Brazil)"
OG0000007,Agulha,Agulha,oil and gas,field,Brazil,Rio Grande do Norte,-4.899,-36.262,exact,operating,2022,1975,1979,,Petrobras (100%),Petr?leo Brasileiro S.A. (100%),Offshore,Conventional,"https://www.gem.wiki/Agulha_Oil_and_Gas_Field_(Rio_Grande_do_Norte,_Brazil)"
OG0000008,Albacora,Albacora,oil and gas,field,Brazil,Rio de Janeiro,-22.131,-39.961,exact,operating,2024,1984,1987,Petrobras,Petrobras (100%),Petr?leo Brasileiro S.A. (100%),Offshore,Unconventional,"https://www.gem.wiki/Albacora_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)"
OG0000009,Albacora Leste,Albacora Leste,oil and gas,field,Brazil,Rio de Janeiro,-22.111,-39.746,exact,operating,2024,1986,1998,Petro Rio Jaguar Petr?leo S.A.,Petro Rio Jaguar Petr?leo S.A. (90%);Repsol Sinopec (10%),PRIO (90%);Repsol Resources UK (nan%),Offshore,Conventional,"https://www.gem.wiki/Albacora_Leste_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)"
OG0000012,Alto do Rodrigues,Alto do Rodrigues,oil and gas,field,Brazil,Rio Grande do Norte,-5.316,-36.734,exact,operating,2023,1981,1981,,Petrobras (100%),Petr?leo Brasileiro S.A. (100%),Onshore,Conventional,"https://www.gem.wiki/Alto_do_Rodrigues_Oil_and_Gas_Field_(Rio_Grande_do_Norte,_Brazil)"
OG0000013,Anamb?,Anamb?,oil and gas,field,Brazil,Alagoas,-9.737,-36.073,exact,operating,2023,2004,2005,,Origem Energia (100%),Origem Energia (100%),Onshore,Conventional,"https://www.gem.wiki/Anamb?_Oil_and_Gas_Field_(Alagoas,_Brazil)"
OG0000014,Brava (non-contracted area),Brava (?rea n?o contratada),oil and gas,field,Brazil,Rio de Janeiro,,,,operating,2023,,,,,,Unknown,Unconventional,"https://www.gem.wiki/Brava_(non-contracted_area)_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)"
OG0000016,Tupi (non-contracted area),Tupi (?rea n?o contratada),oil and gas,field,Brazil,Rio de Janeiro,-24.6499,-43.4723,approximate,operating,2023,,,Petrobras,,,Offshore,Conventional,"https://www.gem.wiki/Tupi_(non-contracted_area)_Oil_and_Gas_Field_(Rio_de_Janeiro,_Brazil)"
